,PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,TOP_USPS,PRICE,PROP_HEADING,FORMATTED_LANDMARK_DETAILS,SOCIETY_NAME,BUILDING_NAME,LOCALITY_WO_CITY,FEATURES_LIST
5748,S,Residential Apartment,4.0,5,2.0,Semi-furnished,North-East,,10,29.0,3185 sq.ft.,"['North-East Facing', 'Apollo Hospital within 1.5km', 'st xavier school within 1.5km', 'saphire 83 within 2km']",3.3 Cr,4 BHK Flat in Sector 81 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '1 Education', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Bestech Park View Grand Spa,Bestech Park View Grand Spa,Sector 81,"['Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5749,S,Residential Apartment,4.0,5,4.0,Semi-furnished,North-East,,8,21.0,3060 sq.ft.,"['North-East Facing', 'Private Garden', 'st xavier school within 500m', 'Apollo hospital within 2km']",3.7 Cr,4 BHK Flat in Sector 86 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Microtek Greenburg,Microtek Greenburg,Sector 86,"['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5750,S,Residential Apartment,2.0,2,3.0,Semi-furnished,North-East,,8,21.0,1425 sq.ft.,"['North-East Facing', 'dps School within 1.5km', 'Apollo Hospital within 1.5km', 'saphire 83 within 1km']",1.1 Cr,2 BHK Flat in Sector 84 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",SS The Coralwood,SS The Coralwood,Sector 84,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5751,S,Residential Apartment,2.0,2,3.0,Semi-furnished,North-East,,3,15.0,1360 sq.ft.,"['North-East Facing', 'siddheshwar school within 500m', 'Apollo Hospital within 1km', 'Recently Renovated']",1.05 Cr,2 BHK Flat in Sector 81 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '1 Education', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Bestech Park View Ananda,Bestech Park View Ananda,Sector 81,"['Water purifier', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5752,S,Residential Apartment,3.0,4,3.0,Semi-furnished,North-East,,9,26.0,2408 sq.ft.,"['North-East Facing', 'Private Garden', 'dps school within 1.5km', 'apollo Hospital within 2km']",2.05 Cr,3 BHK Flat in Sector 85 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '4 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",SS The Leaf,SS The Leaf,Sector 85,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5753,S,Residential Apartment,3.0,3,4.0,Semi-furnished,North-East,,14,21.0,1890 sq.ft.,"['North-East Facing', 'dps school within 1.5km', 'Apollo Hospital within 1.5km', 'Recently Renovated']",1.4 Cr,3 BHK Flat in Sector 84 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",SS The Coralwood,SS The Coralwood,Sector 84,"['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5754,S,Residential Apartment,4.0,4,4.0,Semi-furnished,North-East,,22,32.0,2599 sq.ft.,"['North-East Facing', 'Saphire 83 within 1.5km', 'dps school within 1.5km', 'Apollo hospital within 2km']",2.76 Cr,4 BHK Flat in Sector 85 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}]",Godrej Air,Godrej Air,Sector 85,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5755,S,Residential Apartment,4.0,4,4.0,Semi-furnished,North-East,,12,21.0,2325 sq.ft.,"['North-East Facing', 'st xavier school within 2km', 'Apollo Hospital within 1.5km', 'Recently Renovated']",2.21 Cr,4 BHK Flat in Sector 92 Gurgaon,"[{'category': 'Hospital', 'text': '4 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Miscellaneous', 'text': '4 Miscellaneouss', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Sanskriti Apartment,Sanskriti Apartment,Sector 92,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5756,S,Residential Apartment,4.0,4,4.0,Semi-furnished,North-East,,14,29.0,2215 sq.ft.,"['North-East Facing', 'st xavier school within 1.5km', 'Apollo Hospital within 1.5km', 'saphire 83 within 1.5km']",1.85 Cr,4 BHK Flat in Sector 90 Gurgaon,"[{'category': 'Shopping', 'text': '3 Shoppings', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'ATM', 'text': '1 ATM', 'className': 'atm', 'icon': 'https://static.99acres.com/universalapp/img/atm_blue.png'}, {'category': 'Hospital', 'text': '3 Hospitals', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Bank', 'text': '3 Bankss', 'className': 'bnk', 'icon': 'https://static.99acres.com/universalapp/img/bnk.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",DLF Regal Gardens,DLF Regal Gardens,Sector 90,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5757,S,Residential Apartment,2.0,2,4.0,,,,1,24.0,1385 sq.ft.,"['Fresh Construction', 'Fitness Center/ Gym', 'Club/ Community Center', 'Swimming Pool Available']",99.72 L,2 BHK Flat in Sector 106 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '1 Connectivity', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}]",Paras Dews,Paras Dews,Sector 106,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
5758,S,Residential Apartment,4.0,5,4.0,Semi-furnished,North-East,,8,26.0,2812 sq.ft.,"['North-East Facing', 'Power Back-up', 'DPS SCHOOL within 500m', 'APOLLO HOSPITAL within 2km']",2.6 Cr,4 BHK Flat in Sector 85 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '4 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",SS The Leaf,SS The Leaf,Sector 85,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5759,S,Residential Apartment,4.0,5,4.0,Semi-furnished,North-East,,12,26.0,2812 sq.ft.,"['North-East Facing', 'Gated Society', 'dps school within 500m', 'aarvy hospital within 2km']",2.5 Cr,4 BHK Flat in Sector 85 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '4 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",SS The Leaf,SS The Leaf,Sector 85,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5760,S,Residential Apartment,3.0,4,4.0,Semi-furnished,North-East,,6,17.0,1446 sq.ft.,"['North-East Facing', 'Gated Society']",98 L,3 BHK Flat in Sector 104 Gurgaon,"[{'category': 'MetroStation', 'text': '1 Metro Station', 'className': 'mstn', 'icon': 'https://static.99acres.com/universalapp/img/mstn.png'}, {'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'RailwayStation', 'text': '1 Railway Station', 'className': 'rail', 'icon': 'https://static.99acres.com/universalapp/img/rail.png'}, {'category': 'OfficeComplex', 'text': '2 Office Complexes', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'AmusementPark', 'text': '1 Amusement Park', 'className': 'amprk', 'icon': 'https://static.99acres.com/universalapp/img/amprk.png'}, {'category': 'GolfCourse', 'text': '1 Golf Course', 'className': 'golf', 'icon': 'https://static.99acres.com/universalapp/img/golf.png'}, {'category': 'Stadium', 'text': '1 Stadium', 'className': 'stdm', 'icon': 'https://static.99acres.com/universalapp/img/stdm.png'}]",Godrej Summit,Godrej Summit,Sector 104,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']"
5761,S,Residential Apartment,4.0,5,4.0,Semi-furnished,North,,5,21.0,3060 sq.ft.,"['North Facing', 'st xavier school within 500m', 'aarvy within 1.5km', 'ss omnia mall within 1km']",3.75 Cr,4 BHK Flat in Sector 86 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Microtek Greenburg,Microtek Greenburg,Sector 86,"['Water purifier', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
5762,S,Residential Apartment,2.0,2,3.0,Semi-furnished,North-East,,11,21.0,1480 sq.ft.,"['North-East Facing', 'siddheshwar school within 500m', 'apollo hospital within 1.5km', 'Gated Society']",1.55 Cr,2 BHK Flat in Sector 86 Gurgaon,"[{'category': 'Shopping', 'text': '1 Shopping', 'className': 'shpng', 'icon': 'https://static.99acres.com/universalapp/img/shpng.png'}, {'category': 'Connectivity', 'text': '2 Connectivities', 'className': 'hw', 'icon': 'https://static.99acres.com/universalapp/img/hw.png'}, {'category': 'Education', 'text': '2 Educations', 'className': 'schl', 'icon': 'https://static.99acres.com/universalapp/img/schl.png'}, {'category': 'Hospital', 'text': '1 Hospital', 'className': 'hsptl', 'icon': 'https://static.99acres.com/universalapp/img/hsptl.png'}, {'category': 'Airport', 'text': '1 Airport', 'className': 'aprt', 'icon': 'https://static.99acres.com/universalapp/img/aprt.png'}, {'category': 'OfficeComplex', 'text': '1 Office Complex', 'className': 'ofce', 'icon': 'https://static.99acres.com/universalapp/img/ofce.png'}, {'category': 'Hotel', 'text': '1 Hotels', 'className': 'htl', 'icon': 'https://static.99acres.com/universalapp/img/htl.png'}, {'category': 'Miscellaneous', 'text': '1 Miscellaneous', 'className': 'oldhme', 'icon': 'https://static.99acres.com/universalapp/img/oldhme.png'}]",Microtek Greenburg,Microtek Greenburg,Sector 86,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
